site,domain,alexa rank (2016/12/28),,type,principal country
Google,google.com,1,1,Internet services and products,United States U.S.
YouTube,youtube.com,2,3,Video sharing,United States U.S.
Facebook,facebook.com,3,2,Social network,United States U.S.
Baidu,baidu.com,4,15,Search engine,China China
Wikipedia,wikipedia.org,5,5,Encyclopedia,United States U.S.
Yahoo!,yahoo.com,6,4,Portal and media,United States U.S.
Google India,google.co.in,7,10,Search engine,India India
Amazon,amazon.com,8,11,E-commerce and cloud computing,United States U.S.
Tencent QQ,qq.com,9,38,Portal,China China
Google Japan,google.co.jp,10,20,Search engine,Japan Japan
Windows Live,live.com,11,7,Software plus services,United States U.S.
Taobao,taobao.com,12,51,Online shopping,China China
VK,vk.com,13,12,Social network,Russia Russia
Twitter,twitter.com,14,6,Social network,United States U.S.
Instagram,instagram.com,15,18,Photo sharing and social media,United States U.S.
Hao123,hao123.com,16,180,Web directories,China China
Sohu,sohu.com,17,204,Portal,China China
Sina Corp,sina.com.cn,18,110,Portal and instant messaging,China China
Reddit,reddit.com,19,31,Social news and entertainment,United States U.S.
Google Germany,google.de,20,19,Search engine,Germany Germany
